000,feef1396
001,00003091
002,00002aed
003,00003396
004,00002f0e
005,00003994
006,000035da
007,000042b3
008,00003f53
009,00004f3e
00a,00004b74
00b,00006007
00c,00005a2d
00d,00007821
00e,00006b5f
00f,0000b3ac
010,0000d5ac
011,000049bf
012,00009460
013,00008bb9
014,0000addc
015,0000ae40
016,0000c992
017,0000ce28
018,0000e795
019,0000ee88
01a,000107e7
01b,00010fee
01c,00012a8a
01d,00013191
01e,00014f8a
01f,000149a4
020,00017b21
021,00019eea
022,00019f6f
023,0001b9e2
024,0001ca34
025,0001e31d
026,0001f716
027,00021010
028,000225eb
029,00023f7e
02a,00025691
02b,00027112
02c,000288e9
02d,0002a4db
02e,0002bcc7
02f,0002dd46
030,0002e526
031,00030833
032,00032a08
033,0003441d
034,00036284
035,00037df6
036,00039c2a
037,0003b882
038,0003d6ec
039,0003f3fd
03a,000412b2
03b,00043065
03c,00044f63
03d,00046db8
03e,00048ce8
03f,0004ac64
040,0004d397
041,0004e78c
042,000508ed
043,00052740
044,000547f7
045,00056696
046,00058742
047,0005a5fb
048,0005c6a8
049,0005e556
04a,00060605
04b,0006247f
04c,00064538
04d,0006632b
04e,0006841f
04f,00069fea
050,0006c026
051,0006e4fc
052,000700be
053,0007201d
054,00073db2
055,00075c47
056,000779cc
057,000797c4
058,0007b4de
059,0007d23f
05a,0007eebc
05b,00080b8a
05c,00082738
05d,00084390
05e,00085e1a
05f,00087b09
060,000891cd
061,0008aa97
062,0008c6e5
063,0008dedf
064,0008f86e
065,00090f9b
066,000927b7
067,00093dd7
068,000954a2
069,0009698f
06a,00097f07
06b,000992a2
06c,0009a6c3
06d,0009b8e5
06e,0009cbbd
06f,0009dbf8
070,0009f035
071,0009fd52
072,000a0bca
073,000a19b2
074,000a2702
075,000a3317
076,000a3eba
077,000a48f0
078,000a52c0
079,000a5b02
07a,000a62e3
07b,000a691a
07c,000a6ef5
07d,000a7302
07e,000a76bd
07f,000a7859
080,000a7891
081,000a7b2a
082,000a79a5
083,000a7755
084,000a73d1
085,000a6f04
086,000a691a
087,000a61c8
088,000a5953
089,000a4f6e
08a,000a4450
08b,000a37c9
08c,000a29e4
08d,000a1ab7
08e,000a09e0
08f,0009f844
090,0009e434
091,0009cd4b
092,0009b810
093,00099f53
094,00098640
095,00096a7b
096,00094e13
097,00092f19
098,00090f5c
099,0008ed0c
09a,0008c9ed
09b,0008a428
09c,00087d97
09d,00085434
09e,00082a37
09f,0007fcee
0a0,0007d03c
0a1,00079fa9
0a2,00076cec
0a3,000738ca
0a4,000702b1
0a5,0006ca7f
0a6,00069077
0a7,00065420
0a8,000615f4
0a9,0005d55a
0aa,000592dd
0ab,00054dde
0ac,000506e1
0ad,0004bd59
0ae,00047195
0af,00042366
0b0,0003d218
0b1,00037fec
0b2,00032acd
0b3,0002d26d
0b4,000277f5
0b5,00021a49
0b6,0001ba5a
0b7,00015725
0b8,0000f183
0b9,00008880
0ba,00001ce7
0bb,ffffadcc
0bc,ffff3bec
0bd,fffec668
0be,fffe4df7
0bf,fffdd19a
0c0,fffd5246
0c1,fffccd87
0c2,fffc46e6
0c3,fffbbb6f
0c4,fffb2c98
0c5,fffa98e4
0c6,fffa0171
0c7,fff964d8
0c8,fff8c426
0c9,fff81dee
0ca,fff7733a
0cb,fff6c28a
0cc,fff60cf2
0cd,fff550cb
0ce,fff48f4a
0cf,fff3c6b0
0d0,fff2f830
0d1,fff2223a
0d2,fff1442b
0d3,fff05e5f
0d4,ffef7048
0d5,ffee790e
0d6,ffed788d
0d7,ffec6da2
0d8,ffeb5826
0d9,ffea36c4
0da,ffe90930
0db,ffe7cdf0
0dc,ffe68470
0dd,ffe52b1c
0de,ffe3c0d6
0df,ffe243fc
0e0,ffe0b30c
0e1,ffdf0c2f
0e2,ffdd4dd3
0e3,ffdb73de
0e4,ffd97d25
0e5,ffd7650c
0e6,ffd52915
0e7,ffd2c3ad
0e8,ffd030dc
0e9,ffcd6974
0ea,ffca676d
0eb,ffc7210e
0ec,ffc38d32
0ed,ffbf9e07
0ee,ffbb4590
0ef,ffb66ed7
0f0,ffb10357
0f1,ffaae277
0f2,ffa3e614
0f3,ff9bd84b
0f4,ff927299
0f5,ff875206
0f6,ff79ebad
0f7,ff697169
0f8,ff54a91e
0f9,ff399549
0fa,ff14c80b
0fb,fedfc4cd
0fc,fe8ca7ba
0fd,fdf750a9
0fe,fc9b4d4d
0ff,f5d09270
100,0a2f6d90
101,0364b2b3
102,0208af57
103,01735846
104,01203b33
105,00eb37f5
106,00c66ab7
107,00ab56e2
108,00968e97
109,00861453
10a,0078adfa
10b,006d8d67
10c,006427b5
10d,005c19ec
10e,00551d89
10f,004efca9
110,00499129
111,0044ba70
112,004061f9
113,003c72ce
114,0038def2
115,00359893
116,0032968c
117,002fcf24
118,002d3c53
119,002ad6eb
11a,00289af4
11b,002682db
11c,00248c22
11d,0022b22d
11e,0020f3d1
11f,001f4cf4
120,001dbc04
121,001c3f2a
122,001ad4e4
123,00197b90
124,00183210
125,0016f6d0
126,0015c93c
127,0014a7da
128,0013925e
129,00128773
12a,001186f2
12b,00108fb8
12c,000fa1a1
12d,000ebbd5
12e,000dddc6
12f,000d07d0
130,000c3950
131,000b70b6
132,000aaf35
133,0009f30e
134,00093d76
135,00088cc6
136,0007e212
137,00073bda
138,00069b28
139,0005fe8f
13a,0005671c
13b,0004d368
13c,00044491
13d,0003b91a
13e,00033279
13f,0002adba
140,00022e66
141,0001b209
142,00013998
143,0000c414
144,00005234
145,ffffe319
146,ffff7780
147,ffff0e7d
148,fffea8db
149,fffe45a6
14a,fffde5b7
14b,fffd880b
14c,fffd2d93
14d,fffcd533
14e,fffc8014
14f,fffc2de8
150,fffbdc9a
151,fffb8e6b
152,fffb42a7
153,fffaf91f
154,fffab222
155,fffa6d23
156,fffa2aa6
157,fff9ea0c
158,fff9abe0
159,fff96f89
15a,fff93581
15b,fff8fd4f
15c,fff8c736
15d,fff89314
15e,fff86057
15f,fff82fc4
160,fff80312
161,fff7d5c9
162,fff7abcc
163,fff78269
164,fff75bd8
165,fff73613
166,fff712f4
167,fff6f0a4
168,fff6d0e7
169,fff6b1ed
16a,fff69585
16b,fff679c0
16c,fff660ad
16d,fff647f0
16e,fff632b5
16f,fff61bcc
170,fff607bc
171,fff5f620
172,fff5e549
173,fff5d61c
174,fff5c837
175,fff5bbb0
176,fff5b092
177,fff5a6ad
178,fff59e38
179,fff596e6
17a,fff590fc
17b,fff58c2f
17c,fff588ab
17d,fff5865b
17e,fff584d6
17f,fff5876f
180,fff587a7
181,fff58943
182,fff58cfe
183,fff5910b
184,fff596e6
185,fff59d1d
186,fff5a4fe
187,fff5ad40
188,fff5b710
189,fff5c146
18a,fff5cce9
18b,fff5d8fe
18c,fff5e64e
18d,fff5f436
18e,fff602ae
18f,fff60fcb
190,fff62408
191,fff63443
192,fff6471b
193,fff6593d
194,fff66d5e
195,fff680f9
196,fff69671
197,fff6ab5e
198,fff6c229
199,fff6d849
19a,fff6f065
19b,fff70792
19c,fff72121
19d,fff7391b
19e,fff75569
19f,fff76e33
1a0,fff784f7
1a1,fff7a1e6
1a2,fff7bc70
1a3,fff7d8c8
1a4,fff7f476
1a5,fff81144
1a6,fff82dc1
1a7,fff84b22
1a8,fff8683c
1a9,fff88634
1aa,fff8a3b9
1ab,fff8c24e
1ac,fff8dfe3
1ad,fff8ff42
1ae,fff91b04
1af,fff93fda
1b0,fff96016
1b1,fff97be1
1b2,fff99cd5
1b3,fff9bac8
1b4,fff9db81
1b5,fff9f9fb
1b6,fffa1aaa
1b7,fffa3958
1b8,fffa5a05
1b9,fffa78be
1ba,fffa996a
1bb,fffab809
1bc,fffad8c0
1bd,fffaf713
1be,fffb1874
1bf,fffb2c69
1c0,fffb539c
1c1,fffb7318
1c2,fffb9248
1c3,fffbb09d
1c4,fffbcf9b
1c5,fffbed4e
1c6,fffc0c03
1c7,fffc2914
1c8,fffc477e
1c9,fffc63d6
1ca,fffc820a
1cb,fffc9d7c
